,RMSE (Star Set),RMSE (Non-Star Set)
CLOGP ,0.52,0.91
TLOGP,0.74,1.12
AB/LogP ,0.41,1
KowWIN,0.64,1.05
MolLogP ,0.69,0.93
ACD/logP ,0.5,1
MiLogP ,0.57,0.86
ALOGP ,0.69,0.92
ALOGP98 ,0.7,1
XLOGP3 ,0.62,0.89
